elapsed_s,joint1_pos_rad,joint2_pos_rad,joint3_pos_rad,joint4_pos_rad,joint5_pos_rad,joint6_pos_rad,joint7_pos_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint7_vel_rad_s,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort
0.151954364,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.157013038,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.162072148,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.774000168,-0.148272589,-1.019243598,-0.000080639
0.167131743,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.788324356,-0.148272589,-1.019243598,-0.000080639
0.172206414,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.802650452,-0.148272589,-1.019243598,-0.000080639
0.177281414,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.816974640,-0.148272589,-1.019243598,-0.000080639
0.182347703,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.187407353,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.192467134,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.197517273,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.202577461,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.207639912,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.212701470,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.217784103,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
0.222850821,-0.000023010,-0.522544801,0.000015340,0.776828945,0.000009587,1.312796116,0.000011505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-12.998000145,0.420750469,21.831300735,-0.148272589,-1.019243598,-0.000080639
